Participant;Timestamp;Activity;Valence;Arousal;Dominance;Progress;Status;Notes
p6;1568017176;;;;;;POPUP_OPENED;
p6;1568017253;Testing;4;3;4;Average;POPUP_CLOSED;
p6;1568021350;;;;;;POPUP_OPENED;
p6;1568021438;Testing;3;3;3;Average;POPUP_CLOSED;
p6;1568025120;;;;;;POPUP_OPENED;
p6;1568025198;Networking;4;3;4;Average;POPUP_CLOSED;Lunch/Walking with colleagues
p6;1568028870;;;;;;POPUP_OPENED;
p6;1568029018;Administrative tasks;3;3;3;Average;POPUP_CLOSED;preparing for meeting
p6;1568037362;;;;;;POPUP_OPENED;
p6;1568037407;Meeting;4;4;3;Average;POPUP_CLOSED;Meeting just finished
p6;1568096122;;;;;;POPUP_OPENED;
p6;1568096133;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568099739;;;;;;POPUP_OPENED;
p6;1568099805;Bugfixing;4;3;4;Average;POPUP_CLOSED;
p6;1568103650;;;;;;POPUP_OPENED;
p6;1568103680;Testing;4;3;4;Average;POPUP_CLOSED;
p6;1568107537;;;;;;POPUP_OPENED;
p6;1568107575;Testing;4;3;4;Average;POPUP_CLOSED;
p6;1568111744;;;;;;POPUP_OPENED;
p6;1568111792;Other;4;4;4;Average;POPUP_CLOSED;Just finished our daily walk during lunch
p6;1568117090;;;;;;POPUP_OPENED;
p6;1568117110;Helping;4;4;4;Above average;POPUP_CLOSED;
p6;1568121220;;;;;;POPUP_OPENED;
p6;1568121267;Bugfixing;4;4;3;Above average;POPUP_CLOSED;
p6;1568125300;;;;;;POPUP_OPENED;
p6;1568125322;Networking;4;4;3;Average;POPUP_CLOSED;
p6;1568181706;;;;;;POPUP_OPENED;
p6;1568181718;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568187971;;;;;;POPUP_OPENED;
p6;1568188034;Coding;4;4;3;Average;POPUP_CLOSED;Coding and discussion during a meeting
p6;1568191645;;;;;;POPUP_OPENED;
p6;1568191668;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568195281;;;;;;POPUP_OPENED;
p6;1568195350;Coding;3;3;3;Below average;POPUP_CLOSED;
p6;1568199297;;;;;;POPUP_OPENED;
p6;1568199330;Coding;4;3;3;Above average;POPUP_CLOSED;
p6;1568202960;;;;;;POPUP_OPENED;
p6;1568202984;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568206758;;;;;;POPUP_OPENED;
p6;1568206775;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568210744;;;;;;POPUP_OPENED;
p6;1568210832;Coding;3;4;3;Above average;POPUP_CLOSED;
p6;1568268626;;;;;;POPUP_OPENED;
p6;1568268638;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568272724;;;;;;POPUP_OPENED;
p6;1568272906;Coding;4;4;3;Average;POPUP_CLOSED;
p6;1568276709;;;;;;POPUP_OPENED;
p6;1568276797;Bugfixing;3;4;3;Above average;POPUP_CLOSED;Bugfixing with colleague at same desk
p6;1568280453;;;;;;POPUP_OPENED;
p6;1568281563;Coding;4;3;3;Average;POPUP_CLOSED;
p6;1568285664;;;;;;POPUP_OPENED;
p6;1568285690;Coding;4;3;3;Above average;POPUP_CLOSED;
p6;1568289662;;;;;;POPUP_OPENED;
p6;1568289749;Coding;3;1;3;Below average;POPUP_CLOSED;a little bit sleepy
p6;1568293651;;;;;;POPUP_OPENED;
p6;1568293696;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568297305;;;;;;POPUP_OPENED;
p6;1568297344;Coding;4;4;4;Above average;POPUP_CLOSED;
p6;1568355147;;;;;;POPUP_OPENED;
p6;1568355174;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568358852;;;;;;POPUP_OPENED;
p6;1568358974;Coding;4;3;3;Average;POPUP_CLOSED;
p6;1568362778;;;;;;POPUP_OPENED;
p6;1568362809;Coding;4;4;4;Above average;POPUP_CLOSED;
p6;1568366415;;;;;;POPUP_OPENED;
p6;1568366464;Documentation;4;3;4;Above average;POPUP_CLOSED;
p6;1568371152;;;;;;POPUP_OPENED;
p6;1568371189;Other;4;4;4;Average;POPUP_CLOSED;Back from a walk with colleagues
p6;1568376043;;;;;;POPUP_OPENED;
p6;1568376060;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568379761;;;;;;POPUP_OPENED;
p6;1568379850;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568383730;;;;;;POPUP_OPENED;
p6;1568383762;Coding;4;3;3;Average;POPUP_CLOSED;
p6;1568614586;;;;;;POPUP_OPENED;
p6;1568614622;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568618438;;;;;;POPUP_OPENED;
p6;1568618458;Email;3;3;3;Above average;POPUP_CLOSED;
p6;1568622075;;;;;;POPUP_OPENED;
p6;1568622315;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568625929;;;;;;POPUP_OPENED;
p6;1568626014;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568630046;;;;;;POPUP_OPENED;
p6;1568630082;Other;3;2;3;Average;POPUP_CLOSED;just got back from walk
p6;1568634330;;;;;;POPUP_OPENED;
p6;1568634383;Coding;3;3;3;Below average;POPUP_CLOSED; Less productive stuck at code
p6;1568638009;;;;;;POPUP_OPENED;
p6;1568638028;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568641684;;;;;;POPUP_OPENED;
p6;1568641722;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568701117;;;;;;POPUP_OPENED;
p6;1568701132;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568704743;;;;;;POPUP_OPENED;
p6;1568704786;Coding;3;3;3;Above average;POPUP_CLOSED;Coding + networking
p6;1568708676;;;;;;POPUP_OPENED;
p6;1568708764;Email;3;3;3;Average;POPUP_CLOSED; Currently mailing but mostly coding.
p6;1568712367;;;;;;POPUP_OPENED;
p6;1568712381;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568716768;;;;;;POPUP_OPENED;
p6;1568716786;Other;3;3;3;Average;POPUP_CLOSED;Back from walk
p6;1568720424;;;;;;POPUP_OPENED;
p6;1568720445;Coding;3;2;3;Below average;POPUP_CLOSED;
p6;1568727054;;;;;;POPUP_OPENED;
p6;1568727184;Coding;4;4;3;Above average;POPUP_CLOSED;Just finished coding with colleague
p6;1568787395;;;;;;POPUP_OPENED;
p6;1568787410;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568791197;;;;;;POPUP_OPENED;
p6;1568791231;Helping;3;4;4;Average;POPUP_CLOSED;customer support
p6;1568795136;;;;;;POPUP_OPENED;
p6;1568795159;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568799057;;;;;;POPUP_OPENED;
p6;1568799140;Meeting;4;4;3;Average;POPUP_CLOSED;Started with a meeting last hour and currently coding again
p6;1568802909;;;;;;POPUP_OPENED;
p6;1568802933;Other;4;3;3;Average;POPUP_CLOSED;just got back from walk
p6;1568806918;;;;;;POPUP_OPENED;
p6;1568806931;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568810582;;;;;;POPUP_OPENED;
p6;1568810602;Coding;3;4;3;Average;POPUP_CLOSED;
p6;1568814638;;;;;;POPUP_OPENED;
p6;1568814686;Coding;3;3;3;Average;POPUP_CLOSED;Mostly coding with a little networking inbetween
p6;1568874086;;;;;;POPUP_OPENED;
p6;1568874113;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568878448;;;;;;POPUP_OPENED;
p6;1568878470;Helping;3;4;4;Above average;POPUP_CLOSED;
p6;1568882075;;;;;;POPUP_OPENED;
p6;1568882153;Coding;3;3;3;Average;POPUP_CLOSED; back from helping colleague starting to code again now.
p6;1568886202;;;;;;POPUP_OPENED;
p6;1568886220;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568889847;;;;;;POPUP_OPENED;
p6;1568889876;Coding;3;4;3;Average;POPUP_CLOSED; Finished walk back to coding now
p6;1568893529;;;;;;POPUP_OPENED;
p6;1568893541;Coding;3;2;3;Average;POPUP_CLOSED;
p6;1568897165;;;;;;POPUP_OPENED;
p6;1568897231;Coding;2;3;3;Below average;POPUP_CLOSED;stuck with coding
p6;1568900905;;;;;;POPUP_OPENED;
p6;1568900921;Coding;3;3;3;Average;POPUP_CLOSED;
p6;1568959228;;;;;;POPUP_OPENED;
p6;1568959239;Just arrived;3;3;3;Average;POPUP_CLOSED;
p6;1568962842;;;;;;POPUP_OPENED;
p6;1568962854;Networking;3;4;3;Average;POPUP_CLOSED;
p6;1568966460;;;;;;POPUP_OPENED;
p6;1568966521;Networking;4;3;3;Average;POPUP_CLOSED;eating pie :)
p6;1568970238;;;;;;POPUP_OPENED;
p6;1568970280;Coding;3;4;3;Average;POPUP_CLOSED;
p6;1568975990;;;;;;POPUP_OPENED;
p6;1568976012;Other;4;3;3;Average;POPUP_CLOSED;back from walk
p6;1568979618;;;;;;POPUP_OPENED;
p6;1568979636;Coding;3;4;3;Average;POPUP_CLOSED;
p6;1568983243;;;;;;POPUP_OPENED;
p6;1568983269;Coding;3;4;3;Above average;POPUP_CLOSED;
p6;1568986872;;;;;;POPUP_OPENED;
p6;1568986891;Coding;4;4;3;Average;POPUP_CLOSED;
p7;1568009784;;;;;;POPUP_OPENED;
p7;1568009850;Just arrived;5;1;1;Average;POPUP_CLOSED; Just arrived on bike wristband is not working probaly not charged.
p7;1568013453;;;;;;POPUP_OPENED;
p7;1568013575;Bugfixing;3;1;5;Average;POPUP_CLOSED;
p7;1568017179;;;;;;POPUP_OPENED;
p7;1568017229;Bugfixing;4;1;5;Average;POPUP_CLOSED;Fixed a bug. Have been standing behind my desk for a while.
p7;1568020834;;;;;;POPUP_OPENED;
p7;1568020892;Design;4;1;5;Average;POPUP_CLOSED; Been eating sandwiches now eating some fruit.
p7;1568025410;;;;;;POPUP_OPENED;
p7;1568025473;Other;4;1;5;Average;POPUP_CLOSED;Just made a walk during lunch time. Battery of wristband seems to be empty.
p7;1568029190;;;;;;POPUP_OPENED;
p7;1568029374;Meeting;4;3;4;Above average;POPUP_CLOSED; Preparing for a sprint meeting/demo and not everything is working as it should (yet :-)).
p7;1568036759;;;;;;POPUP_OPENED;
p7;1568037245;Meeting;4;1;5;Average;POPUP_CLOSED;Just had a long sprint meeting.
p7;1568096337;;;;;;POPUP_OPENED;
p7;1568096416;Just arrived;3;2;5;Average;POPUP_CLOSED; Just arrived with the car today.
p7;1568100019;;;;;;POPUP_OPENED;
p7;1568100161;Design;4;1;5;Average;POPUP_CLOSED;Writing down some thoughts regarding design which have kept my mind busy. Going to stand up behind standing desk.
p7;1568104001;;;;;;POPUP_OPENED;
p7;1568104043;Coding;4;2;5;Above average;POPUP_CLOSED;
p7;1568107878;;;;;;POPUP_OPENED;
p7;1568107989;Coding;4;2;5;Below average;POPUP_CLOSED;Got some questions from colleagues inbetween.
p7;1568109901;;;;;;POPUP_OPENED;
p7;1568109947;Other;4;2;5;Average;POPUP_CLOSED;Afternoon off.
p7;1568182652;;;;;;POPUP_OPENED;
p7;1568183127;Just arrived;3;2;5;Average;POPUP_CLOSED; Just arrived not feeling optimal having some flu-like symptoms.
p7;1568187721;;;;;;POPUP_OPENED;
p7;1568187943;Helping;4;1;5;Below average;POPUP_CLOSED;Talking through some new functionality in code with colleague.
p7;1568188208;;;;;;POPUP_OPENED;
p7;1568188281;Coding;5;1;5;Above average;POPUP_CLOSED;Just got some coffee and switch on noise canceling headphones.
p7;1568191930;;;;;;POPUP_OPENED;
p7;1568191980;Coding;4;1;5;Average;POPUP_CLOSED; Still listing to music going to work standing for a while.
p7;1568195584;;;;;;POPUP_OPENED;
p7;1568195659;Coding;4;1;5;Average;POPUP_CLOSED;Also had a question/discussion with a colleague
p7;1568199262;;;;;;POPUP_OPENED;
p7;1568199277;Coding;4;1;5;Average;POPUP_CLOSED;
p7;1568202931;;;;;;POPUP_OPENED;
p7;1568202976;Coding;4;1;5;Average;POPUP_CLOSED; Felt a bit warm took off my sweater.
p7;1568206601;;;;;;POPUP_OPENED;
p7;1568206613;Coding;4;1;5;Average;POPUP_CLOSED;
p7;1568210690;;;;;;POPUP_OPENED;
p7;1568210845;Design;4;2;5;Average;POPUP_CLOSED;Had some discussion about code.
p7;1568212807;;;;;;POPUP_OPENED;
p7;1568212928;Other;5;3;5;Average;POPUP_CLOSED;Had some laughs with colleague.
p7;1568268844;;;;;;POPUP_OPENED;
p7;1568268866;Just arrived;5;1;5;Average;POPUP_CLOSED;
p7;1568272674;;;;;;POPUP_OPENED;
p7;1568272726;Design;4;2;5;Average;POPUP_CLOSED;
p7;1568276692;;;;;;POPUP_OPENED;
p7;1568276743;Helping;4;2;5;Above average;POPUP_CLOSED;Fixing some issues
p7;1568282305;;;;;;POPUP_OPENED;
p7;1568282325;Helping;4;2;5;Average;POPUP_CLOSED;
p7;1568285928;;;;;;POPUP_OPENED;
p7;1568285952;Other;4;2;5;Average;POPUP_CLOSED;
p7;1568289794;;;;;;POPUP_OPENED;
p7;1568289835;Coding;4;2;5;Average;POPUP_CLOSED;
p7;1568293438;;;;;;POPUP_OPENED;
p7;1568293463;Coding;4;2;5;Average;POPUP_CLOSED;
p7;1568297483;;;;;;POPUP_OPENED;
p7;1568297515;Coding;4;2;5;Below average;POPUP_CLOSED;
p7;1568614723;;;;;;POPUP_OPENED;
p7;1568614971;Just arrived;4;3;5;Average;POPUP_CLOSED;
p7;1568618921;;;;;;POPUP_OPENED;
p7;1568619016;Coding;5;2;5;Above average;POPUP_CLOSED;Helped someone to get something working. Making good progress with code working on.
p7;1568622620;;;;;;POPUP_OPENED;
p7;1568622682;Coding;5;1;5;Above average;POPUP_CLOSED;Had some food.
p7;1568626551;;;;;;POPUP_OPENED;
p7;1568626569;Coding;4;2;5;Above average;POPUP_CLOSED;
p7;1568630344;;;;;;POPUP_OPENED;
p7;1568630364;Other;4;2;5;Average;POPUP_CLOSED;
p7;1568636503;;;;;;POPUP_OPENED;
p7;1568636543;Helping;4;3;4;Below average;POPUP_CLOSED;
p7;1568640183;;;;;;POPUP_OPENED;
p7;1568640200;Testing;4;2;5;Above average;POPUP_CLOSED;
p7;1568644071;;;;;;POPUP_OPENED;
p7;1568644087;Testing;3;2;5;Average;POPUP_CLOSED;
p7;1568700684;;;;;;POPUP_OPENED;
p7;1568700729;Just arrived;4;2;5;Average;POPUP_CLOSED;
p7;1568704379;;;;;;POPUP_OPENED;
p7;1568704426;Testing;4;2;5;Average;POPUP_CLOSED;Debugging some unit tests
p7;1568711118;;;;;;POPUP_OPENED;
p7;1568711169;Helping;5;2;5;Below average;POPUP_CLOSED;Helped with some design questions.
p7;1568716292;;;;;;POPUP_OPENED;
p7;1568716341;Other;5;2;5;Below average;POPUP_CLOSED;Just had my daily walk during lunch.
p7;1568719965;;;;;;POPUP_OPENED;
p7;1568720013;Testing;3;2;4;Average;POPUP_CLOSED;Still fixing some issues in unit tests
p7;1568725185;;;;;;POPUP_OPENED;
p7;1568725562;Helping;5;2;5;Below average;POPUP_CLOSED;Helping another colleague on its way.
p7;1568729228;;;;;;POPUP_OPENED;
p7;1568729290;Coding;5;2;5;Very high;POPUP_CLOSED; Fixed complicated issue in unit tests. now writing some new ones.
p8;1568010913;;;;;;POPUP_OPENED;
p8;1568011436;Just arrived;3;3;3;Average;POPUP_CLOSED;
p8;1568015041;;;;;;POPUP_OPENED;
p8;1568015079;Coding;2;2;4;Average;POPUP_CLOSED;
p8;1568018794;;;;;;POPUP_OPENED;
p8;1568018835;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568022445;;;;;;POPUP_OPENED;
p8;1568022495;Coding;3;2;3;Average;POPUP_CLOSED;
p8;1568026361;;;;;;POPUP_OPENED;
p8;1568026383;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568030368;;;;;;POPUP_OPENED;
p8;1568030387;Coding;2;3;3;Average;POPUP_CLOSED;
p8;1568033995;;;;;;POPUP_OPENED;
p8;1568034012;Coding;3;2;3;Average;POPUP_CLOSED;
p8;1568037615;;;;;;POPUP_OPENED;
p8;1568037627;Coding;2;3;3;Average;POPUP_CLOSED;
p8;1568097777;;;;;;POPUP_OPENED;
p8;1568097796;Coding;4;2;3;Average;POPUP_CLOSED;
p8;1568102703;;;;;;POPUP_OPENED;
p8;1568102739;Coding;3;2;3;Average;POPUP_CLOSED;
p8;1568106363;;;;;;POPUP_OPENED;
p8;1568106378;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568113659;;;;;;POPUP_OPENED;
p8;1568113740;Coding;1;3;4;Average;POPUP_CLOSED;bit frustrated because of the illogical current structure of the code
p8;1568117342;;;;;;POPUP_OPENED;
p8;1568117356;Coding;4;3;3;Average;POPUP_CLOSED;
p8;1568120712;;;;;;POPUP_OPENED;
p8;1568120732;Coding;4;3;4;Average;POPUP_CLOSED;
p8;1568124316;;;;;;POPUP_OPENED;
p8;1568124324;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568267721;;;;;;POPUP_OPENED;
p8;1568267732;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568297394;;;;;;POPUP_OPENED;
p8;1568297400;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568354480;;;;;;POPUP_OPENED;
p8;1568354489;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568359090;;;;;;POPUP_OPENED;
p8;1568359099;Coding;3;2;3;Average;POPUP_CLOSED;
p8;1568615488;;;;;;POPUP_OPENED;
p8;1568615495;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568619097;;;;;;POPUP_OPENED;
p8;1568619137;Coding;4;4;4;Average;POPUP_CLOSED;finaly found the problem in the code that was bothering for some time
p8;1568639616;;;;;;POPUP_OPENED;
p8;1568639652;Coding;1;4;3;Average;POPUP_CLOSED;frustation with translations and some code
p8;1568643052;;;;;;POPUP_OPENED;
p8;1568643058;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568701200;;;;;;POPUP_OPENED;
p8;1568701210;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568704816;;;;;;POPUP_OPENED;
p8;1568704833;Coding;4;3;4;Average;POPUP_CLOSED;
p8;1568717075;;;;;;POPUP_OPENED;
p8;1568717083;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568720685;;;;;;POPUP_OPENED;
p8;1568720697;Coding;3;2;3;Average;POPUP_CLOSED;
p8;1568729332;;;;;;POPUP_OPENED;
p8;1568729339;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568782627;;;;;;POPUP_OPENED;
p8;1568782652;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568788072;;;;;;POPUP_OPENED;
p8;1568788083;Coding;3;3;3;Average;POPUP_CLOSED;
p8;1568791686;;;;;;POPUP_OPENED;
p8;1568791698;Coding;3;3;3;Average;POPUP_CLOSED;
